Unique LHS:	196
Unique Tags:	207
Unique Terminals:	4102
Num rule counts:	7074
LHS Counts:
VP_VBN	54
NP_UH	1
VP	3262
S_NP*	1
SBAR_SBARQ*	4
NP_JJR	5
VP_FRAG_WHADVP_WRB	1
WHNP_WP	101
PRN_S_VP	1
S_VP_TO	2
RP	11
S_VP	538
ADJP*	104
ADJP_RP	2
UH	2
SBAR*	60
S_VP_JJ	2
SBAR_SINV*	2
FRAG_ADJP_JJ	2
NP_QP	3
WDT	6
``	57
VBZ	552
VP_MD	6
S_UCP*	1
VP_PP	1
.	1101
DT	1743
S_VP_VBG	5
FRAG	39
SINV*	47
PRN_SINV	1
WHADVP*	1
S_VP*	177
''	46
NP_JJ	15
SBARQ_SQ*	1
WHNP*	2
PDT	17
SQ_VP	8
NP_RB	17
FRAG_S*	1
S_VP_MD	1
INTJ*	3
RBR	9
FRAG_VP	2
VP_NP	1
,	1385
NP_DT	87
-LRB-	8
FRAG_SBAR	1
NP*	1989
CC	788
WHADVP_WRB	133
S_NP	2
S_VP_VBZ	1
WP	6
NP_CC	1
NNPS	4
NX_FW	1
PRN_SINV*	1
RBS	5
NP_NNPS	3
VBP	663
VBN	289
VBG	373
NN	2289
WP$	3
NP_JJS	4
S_ADJP*	2
NP_PRP	1773
FRAG_S	2
ADVP_CD	1
NP_NNP	139
NP_VBP	1
FRAG_ADVP*	1
ADVP_RBS	2
NNP	179
WHNP	20
CD	92
X	4
ADJP	207
SBAR_FRAG	1
WHPP	6
ADVP*	31
RRC	3
QP	3
PRT_RP	217
JJS	16
INTJ_VB	3
S_PP	1
S_ADJP	8
LST_LS	1
ADVP_RB	526
NP_VBG	4
S_ADJP_JJ	2
FRAG_INTJ_UH	3
NP_NNS	224
NP_FW	4
VP_VBP	75
CONJP	6
SBAR_S_VP_MD	1
ADJP_VBG	3
SBARQ*	51
VP_VBZ	65
JJR	22
ADVP_RBR	10
PRT*	4
IN	1935
NP_WDT	3
INTJ	3
PRT	4
NNS	758
FRAG_NP	1
SBAR_S_VP*	3
SBAR_SBARQ	2
ADVP_NN	2
SINV	17
NX*	1
S_NP_PRP	2
WRB	12
PRN	58
ADJP_JJR	10
-RRB-	8
NP_EX	31
PP_IN	29
SQ	81
ADVP_IN	2
NP_CD	26
VP*	1643
S_NP_EX	1
SBAR_S_VP	14
VP_VBD	68
S_VP_VBP	1
PRP	13
INTJ_UH	18
SBAR_S*	65
INTJ_WRB	2
PRN*	47
FRAG_ADVP	1
PP*	65
:	246
SQ*	111
RB	482
ADVP_DT	3
VP_VBG	13
ADJP_VBN	2
PRP$	608
UCP	15
NP_PRP$	7
NP_VBN	1
PP_TO	1
X_SYM	3
ADJP_RB	13
SBARQ	43
NP_WP	1
ADVP	128
NP_INTJ_UH	1
NX	3
X*	2
SBAR	552
FW	2
VB	772
VP_VB	137
S	2239
ADVP_JJ	4
UCP*	21
JJ	1038
NP	4103
VBD	560
WHNP_WDT	68
ADVP_CC	2
S_VP_VB	2
SBAR_S_VP_VBP	1
TOP	1100
S_UCP	1
X_PP	1
MD	295
NP_NN	471
QP*	2
ADJP_JJ	152
SBAR_SINV	2
POS	64
NP_QP*	1
S*	2384
TO	397
FRAG*	27
PP	1815
SBAR_S	272
PRN_S	2
VP_NN	3
SBARQ_SQ	1
WHADJP	8
NP_SYM	7
WHADVP	3
NP_IN	3
Rule counts, Probabilities:
NNS parts	1 4.1920811586912324e-05
FRAG_INTJ_UH Oh	1 4.259488009541253e-05
VBG shifting	2 6.339278167525991e-05
SQ VBZ NP_NNP	1 4.252423881612519e-05
NN atmosphere	3 8.123476848090982e-05
VBG ringing	1 4.2261854450173275e-05
FRAG ADJP :	1 4.256224728665674e-05
X* NP_NN :	1 4.259578727663834e-05
NN cause	1 4.061738424045491e-05
NN pier	1 4.061738424045491e-05
VP_VBD walked	1 4.253599608668836e-05
S S* VP_VBZ	7 0.00016263468184590365
S* RB NP_EX	1 4.053917097395358e-05
JJ brittle	1 4.167621746650274e-05
NN evolving	1 4.061738424045491e-05
VBN painted	2 6.350550381033023e-05
VBN stares	1 4.2337002540220155e-05
NNS worlds	1 4.1920811586912324e-05
ADVP_RB Often	1 4.2125660846304525e-05
NN war	1 4.061738424045491e-05
NP_NN wake	2 6.32617772341951e-05
NP_NNS sacks	1 4.239533651298357e-05
PRT_RP down	36 0.0007844301221166893
VBZ lets	1 4.2102604046060246e-05
VP VBN PP_IN	1 3.9830322824766495e-05
VBD resonating	1 4.2095514722906275e-05
SQ* NP_DT VP	1 4.249713144362756e-05
ADVP_RB just	14 0.00031594245634728395
JJ wrong	1 4.167621746650274e-05
PRN* , SBAR	4 0.00010638750585131282
NN elephant	1 4.061738424045491e-05
VB rise	1 4.190851371456111e-05
VBP hear	6 0.00014701558365186709
ADJP ADJP* PP_TO	1 4.241061961915263e-05
PP IN NP_PRP$	3 8.202436123528688e-05
VP_NN weep	1 4.259488009541253e-05
IN off	1 4.0911508407314974e-05
NP* VBG JJ	1 4.086636697997548e-05
S_VP S_VP* S_ADJP	2 6.31725241634905e-05
NNS Flowers	1 4.1920811586912324e-05
NNP Cage	1 4.2435815828559307e-05
VBZ lies	7 0.00016841041618424098
JJ long	8 0.00018754297859926232
VB Bring	1 4.190851371456111e-05
NN tossing	1 4.061738424045491e-05
NP* PRP$ JJS	3 8.173273395995096e-05
FRAG* FRAG* ADVP	1 4.257311933245349e-05
JJ old	12 0.00027089541353226784
JJ greedy	1 4.167621746650274e-05
NP NP* NP_PRP	7 0.00015669683080659695
JJ cold	4 0.00010419054366625685
NP NNP NNS	4 9.793551925412309e-05
JJS earliest	2 6.387463538228969e-05
NNS stillness	1 4.1920811586912324e-05
S NP NP_PRP	2 6.0988005692213864e-05
VP VBZ NP	90 0.0018122796885268755
NP* NN JJ	1 4.086636697997548e-05
VBD wandered	1 4.2095514722906275e-05
NP_NN mint	1 4.217451815613006e-05
JJ Whose	1 4.167621746650274e-05
SQ* ADVP_RB SQ*	3 8.499426288725512e-05
ADVP_RB elsewhere	1 4.2125660846304525e-05
VBZ breasts	1 4.2102604046060246e-05
NP NP VP_VBN	3 7.834841540329847e-05
JJ Then	1 4.167621746650274e-05
VP_VBP leave	1 4.252966444094756e-05
IN over	14 0.0003068363130548623
NP_NNS nettles	1 4.239533651298357e-05
S_VP* S_VP* PRT_RP	1 4.2437616703445933e-05
ADVP_RB also	3 8.425132169260905e-05
ADJP_VBN entwined	1 4.259578727663834e-05
ADJP RB VBN	6 0.0001484371686670342
NNS reveries	1 4.1920811586912324e-05
VBD reality	1 4.2095514722906275e-05
NN squeal	1 4.061738424045491e-05
CD 1907	1 4.251429543183896e-05
NN brew	1 4.061738424045491e-05
VBZ gets	2 6.315390606909037e-05
ADJP_JJ foolish	1 4.24601405430652e-05
NP_NNS searchlights	1 4.239533651298357e-05
NNP Mr.	1 4.2435815828559307e-05
JJR less	1 4.257765099099483e-05
VP VB ADJP_JJ	17 0.0003584729054228985
VB write	2 6.286277057184167e-05
NNP Precious	1 4.2435815828559307e-05
VP_VB care	3 8.494733265375468e-05
NNS colorless	1 4.1920811586912324e-05
JJ real	1 4.167621746650274e-05
NN continuation	1 4.061738424045491e-05
NN run	1 4.061738424045491e-05
FRAG RB NP_NN	1 4.256224728665674e-05
NP* CC DT	1 4.086636697997548e-05
NP_NN jail	1 4.217451815613006e-05
ADVP DT NN	1 4.248178593428068e-05
NP_NN misunderstanding	1 4.217451815613006e-05
RB again	6 0.00014757658170472035
VBG shining	1 4.2261854450173275e-05
VB desire	1 4.190851371456111e-05
VBP sift	1 4.200445247196203e-05
NN fluttering	1 4.061738424045491e-05
VB treat	2 6.286277057184167e-05
JJ sauté	1 4.167621746650274e-05
NP_NNS strips	1 4.239533651298357e-05
S* S* S_VP_VB	1 4.053917097395358e-05
VBD remounted	1 4.2095514722906275e-05
VBZ beetles	1 4.2102604046060246e-05
PRN : SBAR	1 4.254504456593418e-05
VB stop	2 6.286277057184167e-05
VBD slanted	1 4.2095514722906275e-05
NNS newspapers	1 4.1920811586912324e-05
JJ darkened	1 4.167621746650274e-05
PRP$ her	68 0.001450829495994449
NNS scents	1 4.1920811586912324e-05
FRAG_INTJ_UH Well	2 6.389232014311879e-05
VB seem	2 6.286277057184167e-05
VB suckle	1 4.190851371456111e-05
NP NP VP	75 0.0014886198926626708
NN fright	1 4.061738424045491e-05
NP NP* VP	17 0.0003525678693148431
VBP live	3 8.400890494392406e-05
NN dark	3 8.123476848090982e-05
NNS slaves	2 6.288121738036849e-05
NN breathing	2 6.092607636068237e-05
VBN bordered	1 4.2337002540220155e-05
UCP UCP* S_VP	1 4.258399693395222e-05
NP_NNP France	1 4.247186239116585e-05
NN noun	1 4.061738424045491e-05
VP* PP ,	1 4.1157344528131047e-05
NN crack	1 4.061738424045491e-05
VP NN NP_DT	1 3.9830322824766495e-05
VBP build	1 4.200445247196203e-05
SBAR WHADVP S	3 8.420520809212049e-05
NP_NN everything	5 0.0001265235544683902
JJ rotted	1 4.167621746650274e-05
NNS rooms	3 8.384162317382465e-05
NP NP* :	3 7.834841540329847e-05
VBD saved	1 4.2095514722906275e-05
NN perfume	1 4.061738424045491e-05
NN howl	1 4.061738424045491e-05
PRN , S_VP	1 4.254504456593418e-05
VP_VBD said	5 0.00012760798826006508
VB crawl	2 6.286277057184167e-05
SQ* VP .	18 0.00040372274871446176
VP_VB have	2 6.371049949031601e-05
ADJP_JJ old	1 4.24601405430652e-05
